Site Name:,Snake Range West Pinyon-Juniper,,Snake Range West Subalpine,,Snake Range West Montane,
Deployment:,Wind velocity monitor,,Wind velocity monitor,,Wind velocity monitor,
Monitored System:,Atmosphere,,Atmosphere,,Atmosphere,
Measured Property:,Wind speed,,Wind speed,,Wind speed,
Vertical Offset from Surface:,10m height,,10m height,,10m height,
Units:,m/s,,m/s,,m/s,
Measurement Type:,Average,,Average,,Average,
Aggregation interval:,1-Hour aggregates of 00:10:00 data,,1-Hour aggregates of 00:10:00 data,,1-Hour aggregates of 00:10:00 data,
Time Stamp ((UTC-08:00) Pacific Time (US & Canada)),Aggregated Value,Number of Constituient Values,Aggregated Value,Number of Constituient Values,Aggregated Value,Number of Constituient Values
1/2/2016 7:00:00 PM,0.801989760000000000,6,5.247504533000000000,6,3.759233866000000000,6
1/2/2016 8:00:00 PM,0.947948320000000000,6,4.529260266000000000,6,3.486539466000000000,6
1/2/2016 9:00:00 PM,1.024019626000000000,6,4.745329600000000000,6,3.432820160000000000,6
1/2/2016 10:00:00 PM,1.391486506000000000,6,4.790778666000000000,6,2.973710080000000000,6
1/2/2016 11:00:00 PM,1.257076480000000000,6,4.801954666000000000,6,2.625987466000000000,6
1/3/2016 12:00:00 AM,0.619969973000000000,6,4.475615466000000000,6,3.167278400000000000,6
1/3/2016 1:00:00 AM,0.898475893000000000,6,4.371306133000000000,6,3.154686773000000000,6
1/3/2016 2:00:00 AM,0.988628960000000000,6,4.320641600000000000,6,2.810764000000000000,6
1/3/2016 3:00:00 AM,0.918965226000000000,6,3.694115040000000000,6,2.759428906000000000,6
1/3/2016 4:00:00 AM,0.781276906000000000,6,3.517087200000000000,6,2.246152480000000000,6
1/3/2016 5:00:00 AM,1.028341013000000000,6,3.574084800000000000,6,1.900739573000000000,6
1/3/2016 6:00:00 AM,1.557189333000000000,6,3.474469386000000000,6,1.991637706000000000,6
1/3/2016 7:00:00 AM,0.680767413000000000,6,2.999787413000000000,6,2.394420746000000000,6
1/3/2016 8:00:00 AM,0.525048480000000000,6,2.581730506000000000,6,2.496345866000000000,6
1/3/2016 9:00:00 AM,0.532648160000000000,6,3.023629546000000000,6,1.991041653000000000,6
1/3/2016 10:00:00 AM,0.813538293000000000,6,3.181807200000000000,6,2.148548746000000000,6
1/3/2016 11:00:00 AM,1.042050240000000000,6,2.523391786000000000,6,3.097689173000000000,6
1/3/2016 12:00:00 PM,0.927384480000000000,6,2.879533653000000000,6,3.696350240000000000,6
1/3/2016 1:00:00 PM,1.075801760000000000,6,3.173909493000000000,6,3.047769706000000000,6
1/3/2016 2:00:00 PM,1.450048746000000000,6,2.379668426000000000,6,1.971222880000000000,6
1/3/2016 3:00:00 PM,1.150978986000000000,6,2.235945066000000000,6,1.608971466000000000,6
1/3/2016 4:00:00 PM,0.919412266000000000,6,2.906654080000000000,6,2.226110186000000000,6
1/3/2016 5:00:00 PM,1.229210986000000000,6,2.838107946000000000,6,1.917801600000000000,6
1/3/2016 6:00:00 PM,1.354829226000000000,6,2.798246880000000000,6,2.508117920000000000,6
1/3/2016 7:00:00 PM,1.312211413000000000,6,2.640367253000000000,6,2.562731306000000000,6
1/3/2016 8:00:00 PM,2.681941973000000000,6,2.835649226000000000,6,3.126895786000000000,6
1/3/2016 9:00:00 PM,1.264676160000000000,6,3.217719413000000000,6,2.870890880000000000,6
1/3/2016 10:00:00 PM,1.091224640000000000,6,3.734572160000000000,6,2.008774240000000000,6
1/3/2016 11:00:00 PM,1.180334613000000000,6,3.375077493000000000,6,2.066889440000000000,6
1/4/2016 12:00:00 AM,1.034376053000000000,6,3.295131840000000000,6,2.154658293000000000,6
